Abreviatura,Nombre,URL,URL,vencida,Esta en wikidata,URL Wikidata
 3dmet	Three-Dimensional Structure Database of Natural Metabolites	 http://www.3dmet.dna.affrc.go.jp/	NO	SI	https://www.wikidata.org/wiki/Q23948774	
 aop.events	AOPWiki (Key Event)	 https://aopwiki.org/	NO	NO	por definir	
 aop.relationships	AOPWiki (Key Event Relationship)	 https://aopwiki.org/	NO	NO	por definir	
 aop.stressor	AOPWiki (Stressor)	 https://aopwiki.org/	NO	NO	por definir	
 apaonto	Psychology Ontology	 https://bioportal.bioontology.org/ontologies/APAONTO	desconocido	NO	por definir	
 apd	Antimicrobial Peptide Database	 http://aps.unmc.edu/AP/	NO	NO	por definir	
 aphidbase.transcript	AphidBase Transcript	 http://www.aphidbase.com/aphidbase	NO	NO	por definir	
 apid.interactions	APID Interactomes	 http://cicblade.dep.usal.es:8080/APID/	NO	NO	por definir	
 apo	Ascomycete Phenotype Ontology	 http://www.yeastgenome.org/	SI	NO	por definir	
 apollosv	Apollo-SV	 https://github.com/ApolloDev/apollo-sv	NO	NO	por definir	
 arachnoserver	ArachnoServer: Spider toxin database	 http://www.arachnoserver.org/	NO	NO	por definir	
 araport	Arabidopsis Information Portal	 https://www.araport.org/	desconocido	NO	por definir	
 ardb	Antibiotic Resistance Genes Database	 http://ardb.cbcb.umd.edu/	NO	NO	por definir	
 ark	Archival Resource Key	 http://n2t.net/	NO	NO	por definir	
 aro	Antibiotic Resistance Ontology	 https://github.com/arpcard/aro	NO	NO	por definir	
 arrayexpress	ArrayExpress	 https://www.ebi.ac.uk/arrayexpress/	NO	NO	por definir	
 arrayexpress.platform	ArrayExpress Platform	 https://www.ebi.ac.uk/arrayexpress/	NO	NO	por definir	
 arraymap	arrayMap - Genomic Array Data for Cancer CNV Profiles	 https://www.arraymap.org	NO	NO	por definir	
 arxiv	arXiv	 https://arxiv.org/	NO	NO	por definir	
 asap	A Systematic Annotation Package	 http://asap.ahabs.wisc.edu/asap/home.php	NO	NO	por definir	
 ascl	Astrophysics Source Code Library	 http://ascl.net/	NO	NO	por definir	
 asin	Amazon Standard Identification Number	 https://www.amazon.co.uk/gp/help/customer/display.html/277-3416785-8259466?ie=UTF8&nodeId=898182	NO	NO	por definir	
 aspgd.locus	AspGD Locus	 http://www.aspgd.org/	NO	NO	por definir	
 aspgd.protein	AspGD Protein	 http://www.aspgd.org/	NO	NO	por definir	
 asrp	Arabidopsis Small RNA Project	 https://asrp.danforthcenter.org/	desconocido	NO	por definir	
 assembly	Assembly	 https://www.ncbi.nlm.nih.gov/	NO	NO	por definir	
 atc	Anatomical Therapeutic Chemical Classification	 http://www.whocc.no/atc_ddd_index/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 atcc	American Type Culture Collection database	 http://www.atcc.org/	NO	NO	por definir	
 atcvet	Anatomical Therapeutic Chemical Vetinary	 http://www.whocc.no/atcvet/atcvet_index/	NO	NO	por definir	
 atfdb.family	Animal TFDB Family	 http://www.bioguo.org/AnimalTFDB/family_index.php	NO	NO	por definir	
 ato	Amphibian Taxonomy Ontology	 http://www.amphibanat.org	SI	NO	por definir	
 atol	Animal Trait Ontology for Livestock	 http://www.atol-ontology.com	desconocido	NO	por definir	
 autdb	AutDB	 http://autism.mindspec.org/autdb/	NO	NO	por definir	
 bacdive	Bacterial Diversity Metadatabase	 https://bacdive.dsmz.de/	NO	NO	por definir	
 bacmap.biog	BacMap Biography	 http://bacmap.wishartlab.com/	NO	NO	por definir	
 bacmap.map	BacMap Map	 http://bacmap.wishartlab.com/	NO	NO	por definir	
 bactibase	Bactibase: database dedicated to bacteriocins	 http://bactibase.hammamilab.org	desconocido	NO	por definir	
 bams	Brain Architecture Knowledge Management System Neuroanatomical Ontology	 https://bams1.org	SI	NO	por definir	
 bao	BioAssay Ontology	 http://bioportal.bioontology.org/ontologies/BAO/	NO	NO	por definir	
 bbkg	Blue Brain Project Knowledge Graph	 https://portal.bluebrain.epfl.ch	NO	NO	por definir	
 bbtp	Blue Brain Project Topological sampling Knowledge Graph	 https://portal.bluebrain.epfl.ch	NO	NO	por definir	
 bcgo	Beta Cell Genomics Ontology	 https://github.com/obi-bcgo/bcgo	SI	NO	por definir	
 bcio	Brain-Computer Interaction (BCI) Ontology	 https://www.humanbehaviourchange.org/	desconocido	NO	por definir	
 bco	Biological Collections Ontology	 https://github.com/BiodiversityOntologies/bco	NO	NO	por definir	
 bcrc	BCRC Strain Collection Catalog	 https://catalog.bcrc.firdi.org.tw	desconocido	NO	por definir	
 bcrj	Banco de Celulas do Rio de Janeiro	 http://bcrj.org.br/celula/bcrj	desconocido	NO	por definir	
 bdgp.est	BDGP EST	 https://www.ncbi.nlm.nih.gov/dbEST/index.html	NO	NO	por definir	
 bdgp.insertion	BDGP insertion DB	 http://flypush.imgen.bcm.tmc.edu/pscreen/	NO	NO	por definir	
 bdsc	Bloomington Drosophila Stock Center	 https://bdsc.indiana.edu/about/mission.html	NO	NO	por definir	
 beetlebase	BeetleBase	 http://beetlebase.org/	NO	NO	por definir	
 begdb	The Benchmark Energy & Geometry Database	 http://www.begdb.com	NO	NO	por definir	
 beiresources	BEI Resources	 https://www.beiresources.org	desconocido	NO	por definir	
 bel	Biological Expression Language	 https://biological-expression-language.github.io/	desconocido	NO	por definir	
 bfo	Basic Formal Ontology	 https://github.com/BFO-ontology/BFO	NO	NO	por definir	
 bgee.family	Bgee family	 http://bgee.unil.ch/bgee/bgee	NO	NO	por definir	
 bgee.gene	Bgee gene	 https://bgee.org/	NO	NO	por definir	
 bgee.organ	Bgee organ	 http://bgee.unil.ch/bgee/bgee	NO	NO	por definir	
 bgee.stage	Bgee stage	 http://bgee.unil.ch/bgee/bgee	NO	NO	por definir	
 bigg.compartment	BiGG Compartment	 http://bigg.ucsd.edu/compartments/	NO	NO	por definir	
 bigg.metabolite	BiGG Metabolite	 http://bigg.ucsd.edu/universal/metabolites	NO	NO	por definir	
 bigg.model	BiGG Model	 http://bigg.ucsd.edu/models	NO	NO	por definir	
 bigg.reaction	BiGG Reaction	 http://bigg.ucsd.edu/universal/reactions	NO	NO	por definir	
 bila	Bilateria anatomy	 http://purl.obolibrary.org/obo/BILA_$1	undefined	NO	por definir	
 bindingdb	BindingDB database of measured binding affinities	 https://www.bindingdb.org	NO	NO	por definir	
 biocarta.pathway	BioCarta Pathway	 https://www.biocarta.com/	NO	NO	por definir	
 biocatalogue.service	BioCatalogue Service	 https://www.biocatalogue.org/	NO	NO	por definir	
 biocyc	BioCyc	 http://biocyc.org	NO	NO	por definir	
 biogrid	Biological General Repository for Interaction Datasets	 http://thebiogrid.org/	NO	NO	por definir	
 biogrid.interaction	BioGRID Interactions	 https://thebiogrid.org/	desconocido	NO	por definir	
 biolegend	BioLegend	 https://www.biolegend.com	desconocido	NO	por definir	
 biolink	Biolink Model	 https://biolink.github.io/biolink-model	NO	NO	por definir	
 biominder	Bio-MINDER Tissue Database	 https://datalab.rwth-aachen.de/MINDER	NO	NO	por definir	
 biomodels.db	BioModels Database	 https://www.ebi.ac.uk/biomodels/	NO	NO	por definir	
 biomodels.kisao	Kinetic Simulation Algorithm Ontology	 http://bioportal.bioontology.org/ontologies/KISAO	NO	NO	por definir	
 biomodels.teddy	TErminology for the Description of DYnamics	 http://teddyontology.sourceforge.net/	NO	NO	por definir	
 biomodels.vocabulary	SBML RDF Vocabulary	 http://biomodels.net/rdf/vocabulary.rdf	NO	NO	por definir	
 bionumbers	BioNumbers	 https://bionumbers.hms.harvard.edu	NO	NO	por definir	
 bioportal	BioPortal	 http://bioportal.bioontology.org/	NO	NO	por definir	
 bioproject	NCBI BioProject	 http://trace.ddbj.nig.ac.jp/bioproject/	NO	NO	por definir	
 bioregistry	Bioregistry	 https://bioregistry.io	desconocido	NO	por definir	
 bioregistry.collection	Bioregistry Collections	 https://bioregistry.io/collection	desconocido	NO	por definir	
 bioregistry.registry	Bioregistry Metaregistry	 https://bioregistry.io/metaregistry/	desconocido	NO	por definir	
 bioregistry.schema	Bioregistry Schema	 https://bioregistry.io/schema	desconocido	NO	por definir	
 biorxiv	bioRxiv	 https://biorxiv.org	desconocido	NO	por definir	
 biosample	NCBI BioSample	 https://www.ebi.ac.uk/biosamples/	NO	NO	por definir	
 biosimulations	biosimulations	 https://icahn.mssm.edu/	NO	NO	por definir	
 biosimulators	BioSimulators	 https://biosimulators.org/	NO	NO	por definir	
 biostudies	BioStudies	 https://www.ebi.ac.uk/biostudies/	NO	NO	por definir	
 biosystems	NCBI BioSystems Database	 https://www.ncbi.nlm.nih.gov/biosystems/	NO	NO	por definir	
 biotools	bio.tools	 https://bio.tools/	NO	NO	por definir	
 biozil	BIOZIL	 https://www.biozol.de/en	desconocido	NO	por definir	
 birnlex	Biomedical Informatics Research Network Project Lexicon	 https://bioportal.bioontology.org/ontologies/BIRNLEX	desconocido	NO	por definir	
 bitbucket	Bitbucket	 https://www.atlassian.com/	NO	NO	por definir	
 bitterdb.cpd	BitterDB Compound	 http://bitterdb.agri.huji.ac.il/dbbitter.php	NO	NO	por definir	
 bitterdb.rec	BitterDB Receptor	 http://bitterdb.agri.huji.ac.il/dbbitter.php	NO	NO	por definir	
 bko	SBGN Bricks data and ontology	 http://www.sbgnbricks.org/	desconocido	NO	por definir	
 bmrb	Biological Magnetic Resonance Data Bank	 http://www.bmrb.wisc.edu/	NO	NO	por definir	
 bmrb.restraint	NMR Restraints Grid	 https://restraintsgrid.bmrb.io/NRG/MRGridServlet	desconocido	NO	por definir	
 bold.taxonomy	BOLD Taxonomy	 http://www.boldsystems.org/	NO	NO	por definir	
 bootstrep	Gene Regulation Ontology	 http://www.ebi.ac.uk/Rebholz-srv/GRO/GRO.html	SI	NO	por definir	
 bpdb	Bio-Pesticides DataBase	 https://sitem.herts.ac.uk/aeru/bpdb/index.htm	desconocido	NO	por definir	
 brenda	BRENDA Enzyme Database	 https://www.brenda-enzymes.org/	NO	NO	por definir	
 broad	Broad Fungal Genome Initiative	 https://www.broadinstitute.org/annotation/genome/magnaporthe_grisea/	NO	NO	por definir	
 bs	Biosapiens Protein Feature Ontology	 https://github.com/The-Sequence-Ontology/SO-Ontologies	desconocido	NO	por definir	
 bspo	Biological SPatial Ontology	 https://github.com/obophenotype/biological-spatial-ontology	NO	NO	por definir	
 bto	BRENDA tissue / enzyme source	 https://www.ebi.ac.uk/ols/ontologies/bto	NO	SI	https://www.wikidata.org/wiki/Q4836352	
 bugbase.expt	BugBase Expt	 http://bugs.sgul.ac.uk/E-BUGS	NO	NO	por definir	
 bugbase.protocol	BugBase Protocol	 http://bugs.sgul.ac.uk/E-BUGS	NO	NO	por definir	
 bykdb	Bacterial protein tYrosine Kinase database	 https://bykdb.ibcp.fr/BYKdb/	NO	NO	por definir	
 cabri	Common Access to Biological Resources and Information	 http://www.cabri.org/	NO	NO	por definir	
 cadsr	Cancer Data Standards Registry and Repository	 https://wiki.nci.nih.gov/display/caDSR/caDSR+Wiki	NO	NO	por definir	
 caloha	CALIPHO Group Ontology of Human Anatomy	 https://github.com/calipho-sib/controlled-vocabulary	desconocido	NO	por definir	
 cameo	Continuously Automated Model Evaluation	 https://cameo3d.org	NO	NO	por definir	
 caps	CAPS-DB	 http://www.bioinsilico.org/cgi-bin/CAPSDB/staticHTML/home	NO	NO	por definir	
 caro	Common Anatomy Reference Ontology	 https://github.com/obophenotype/caro/	NO	NO	por definir	
 cas	CAS Registry Number	 https://commonchemistry.cas.org/	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 cath	CATH	 http://www.cathdb.info	NO	NO	por definir	
 cath.domain	CATH domain	 http://www.cathdb.info/	NO	NO	por definir	
 cath.superfamily	CATH superfamily	 http://www.cathdb.info/	NO	NO	por definir	
 cattleqtldb	Animal Genome Cattle QTL	 https://www.animalgenome.org/QTLdb	NO	NO	por definir	
 cazy	The Carbohydrate-Active enZYmes Database	 http://www.cazy.org/	NO	NO	por definir	
 cba	Chinese Biological Abstracts	 http://www.cba.ac.cn	desconocido	NO	por definir	
 cbioportal	cBioPortal for Cancer Genomics	 http://www.cbioportal.org	NO	NO	por definir	
 ccdc	CCDC Number	 https://www.ccdc.cam.ac.uk/	NO	NO	por definir	
 ccds	The Consensus CDS	 http://www.ncbi.nlm.nih.gov/CCDS/	NO	NO	por definir	
 ccle	Cancer Cell Line Encyclopedia Cells	 https://www.cbioportal.org/study/summary?id=ccle_broad_2019	desconocido	NO	por definir	
 cco	Cell Cycle Ontology	 https://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=CCO	NO	NO	por definir	
 ccrid	National Experimental Cell Resource Sharing Platform	 http://www.cellresource.cn	desconocido	NO	por definir	
 cdao	Comparative Data Analysis Ontology	 https://github.com/evoinfo/cdao	NO	NO	por definir	
 cdd	Canadian Disaster Database	 https://www.ncbi.nlm.nih.gov/sites/entrez?db=cdd	NO	NO	por definir	
 cdno	Compositional Dietary Nutrition Ontology	 https://github.com/Southern-Cross-Plant-Science/cdno	NO	NO	por definir	
 cdpd	Canadian Drug Product Database	 http://webprod3.hc-sc.gc.ca/dpd-bdpp/index-eng.jsp	NO	NO	por definir	
 cell_biolabs	Cell Biolabs cell line products	 https://www.cellbiolabs.com	desconocido	NO	por definir	
 cell_model_passport	Sanger Cell Model Passports	 https://cellmodelpassports.sanger.ac.uk/	desconocido	NO	por definir	
 cellbank.australia	CellBank Australia	 http://www.cellbankaustralia.com/cellbank-australia-exclusive-lines/	desconocido	NO	por definir	
 cellimage	Cell Image Library	 http://cellimagelibrary.org/	NO	NO	por definir	
 cellopub	Cellosaurus Publication	 https://web.expasy.org/cellosaurus/	desconocido	NO	por definir	
 cellosaurus	Cellosaurus	 https://web.expasy.org/cellosaurus/	NO	SI	https://www.wikidata.org/wiki/Q24691710	
 cellosaurus.resource	Cellosaurus Registry	 https://web.expasy.org/cellosaurus/	desconocido	NO	por definir	
 cellrepo	Cell Version Control Repository	 https://cellrepo.ico2s.org/	NO	NO	por definir	
 ceph	Cephalopod Ontology	 https://github.com/obophenotype/cephalopod-ontology	NO	NO	por definir	
 cgd	Candida Genome Database	 http://www.candidagenome.org/	NO	NO	por definir	
 cghdb	CGH Data Base	 http://www.cghtmd.jp/CGHDatabase/index_e.jsp	desconocido	NO	por definir	
 cgnc	Chicken Gene Nomenclature Consortium	 http://birdgenenames.org/cgnc/	desconocido	NO	por definir	
 cgsc	Coli Genetic Stock Center	 http://cgsc.biology.yale.edu/index.php	NO	NO	por definir	
 charprot	CharProt	 http://www.jcvi.org/charprotdb	NO	NO	por definir	
 chebi	Chemical Entities of Biological Interest	 https://www.ebi.ac.uk/chebi/	NO	SI	https://www.wikidata.org/wiki/Q902623	
 chembl	ChEMBL	 https://www.ebi.ac.uk/chembl	NO	NO	por definir	
 chembl.cell	ChEMBL database of bioactive drug-like small molecules - Cell lines section	 https://www.ebi.ac.uk/chembldb	desconocido	NO	por definir	
 chembl.compound	ChEMBL compound	 https://www.ebi.ac.uk/chembldb/	NO	SI	https://www.wikidata.org/wiki/Q6120337	
 chembl.target	ChEMBL target	 https://www.ebi.ac.uk/chembldb/	NO	NO	por definir	
 chemdb	The UC Irvine ChemDB	 http://cdb.ics.uci.edu/	NO	NO	por definir	
 chemidplus	ChemIDplus	 https://chem.nlm.nih.gov/chemidplus/chemidheavy.jsp	NO	NO	por definir	
 cheminf	CHEMical INFormation Ontology	 https://github.com/semanticchemistry/semanticchemistry	NO	NO	por definir	
 chemspider	ChemSpider	 http://www.chemspider.com/	NO	SI	https://www.wikidata.org/wiki/Q2311683	
 chickenqtldb	Animal Genome Chicken QTL	 https://www.animalgenome.org/QTLdb	NO	NO	por definir	
 chiro	ChEBI Integrated Role Ontology	 https://github.com/obophenotype/chiro	NO	NO	por definir	
 chmo	Chemical Methods Ontology	 https://github.com/rsc-ontologies/rsc-cmo	NO	NO	por definir	
 cido	Coronavirus Infectious Disease Ontology	 https://github.com/cido-ontology/cido	NO	NO	por definir	
 cio	Confidence Information Ontology	 https://github.com/BgeeDB/confidence-information-ontology	NO	NO	por definir	
 citexplore	Cerebrotendinous Xanthomatosis Ontology	 https://www.ebi.ac.uk/citexplore/	desconocido	NO	por definir	
 civic.aid	CIViC Assertion	 https://civicdb.org/	NO	NO	por definir	
 civic.eid	CIViC Evidence	 https://civicdb.org/	NO	NO	por definir	
 cl	Cell Ontology	 https://www.ebi.ac.uk/ols/ontologies/cl	NO	SI	https://www.wikidata.org/wiki/Q55118285	
 clao	Collembola Anatomy Ontology	 https://github.com/luis-gonzalez-m/Collembola	NO	NO	por definir	
 classyfire	ClassyFire	 http://classyfire.wishartlab.com/	NO	NO	por definir	
 cldb	Cell Line Database	 http://bioinformatics.hsanmartino.it/hypercldb/indexes.html	NO	NO	por definir	
 clingene	ClinGen Allele Registry	 https://reg.clinicalgenome.org	desconocido	NO	por definir	
 clinicaltrials	ClinicalTrials.gov	 https://clinicaltrials.gov/	NO	NO	por definir	
 clinvar	ClinVar	 http://www.ncbi.nlm.nih.gov/clinvar/	NO	SI	https://www.wikidata.org/wiki/Q20023123	
 clinvar.record	ClinVar Record	 http://www.ncbi.nlm.nih.gov/clinvar/	NO	NO	por definir	
 clinvar.submission	ClinVar Submission	 http://www.ncbi.nlm.nih.gov/clinvar/	NO	NO	por definir	
 clinvar.submitter	ClinVar Submitter	 https://www.ncbi.nlm.nih.gov/clinvar/	NO	NO	por definir	
 clo	Cell Line Ontology	 http://www.clo-ontology.org	NO	NO	Aunque tiene propiedad wikidata, no tiene un url en ella	
 cls	Cell Lines Service	 https://www.clsgmbh.de	desconocido	NO	por definir	
 clyh	Clytia hemisphaerica Development and Anatomy Ontology	 https://github.com/EBISPOT/clyh_ontology	NO	NO	por definir	
 cmecs	Costal and Marine Ecological Classification Standard	 https://cmecscatalog.org/cmecs	desconocido	NO	por definir	
 cmf	CranioMaxilloFacial ontology	 https://code.google.com/p/craniomaxillofacial-ontology/	SI	NO	por definir	
 cmo	Clinical Measurement Ontology	 http://rgd.mcw.edu/rgdweb/ontology/search.html	NO	NO	por definir	
 cmpo	Cellular Microscopy Phenotype Ontology	 http://www.ebi.ac.uk/cmpo	desconocido	NO	por definir	
 co_320	Rice Ontology	 https://cropontology.org/ontology/CO_320/Rice	desconocido	NO	por definir	
 co_321	Wheat Ontology	 https://cropontology.org/ontology/CO_321/Wheat	desconocido	NO	por definir	
 co_322	Maize Ontology	 https://cropontology.org/ontology/CO_322/Maize	desconocido	NO	por definir	
 co_323	Barley Ontology	 https://cropontology.org/ontology/CO_323/Barley	desconocido	NO	por definir	
 co_324	Sorghum Ontology	 https://cropontology.org/ontology/CO_324/Sorghum	desconocido	NO	por definir	
 co_325	Banana Ontology	 https://cropontology.org/ontology/CO_325/Banana	desconocido	NO	por definir	
 co_326	Coconut ontology	 https://cropontology.org/ontology/CO_326/Coconut	desconocido	NO	por definir	
 co_327	Pearl Millet Ontology	 http://www.cropontology.org/ontology/CO_327/Pearl%20millet	desconocido	NO	por definir	
 co_330	Potato Ontology	 https://cropontology.org/ontology/CO_330/Potato	desconocido	NO	por definir	
 co_331	Sweet Potato Ontology	 http://www.cropontology.org/ontology/CO_331/Sweet%20Potato	desconocido	NO	por definir	
 co_333	Beet Ontology	 http://www.cropontology.org/ontology/CO_333/Beet%20Ontology	desconocido	NO	por definir	
 co_334	IBP Cassava Trait Ontology	 https://cropontology.org/ontology/CO_334/Cassava	desconocido	NO	por definir	
 co_335	Common Bean Ontology	 http://www.cropontology.org/ontology/CO_335/Common%20Bean	desconocido	NO	por definir	
 co_336	Soybean Ontology	 https://cropontology.org/ontology/CO_336/Soybean	desconocido	NO	por definir	
 co_337	Groundnut Ontology	 https://cropontology.org/ontology/CO_337/Groundnut	desconocido	NO	por definir	
 co_338	Chickpea Ontology	 https://cropontology.org/ontology/CO_338/Chickpea	desconocido	NO	por definir	
 co_339	Lentil Ontology	 https://cropontology.org/ontology/CO_339/Lentil	desconocido	NO	por definir	
 co_340	IBP Cowpea Trait Ontology	 https://cropontology.org/ontology/CO_340/Cowpea	desconocido	NO	por definir	
 co_341	Pigeon Pea Ontology	 https://cropontology.org/ontology/CO_341/Pigeonpea	desconocido	NO	por definir	
 co_343	Yam Ontology	 https://cropontology.org/ontology/CO_343/Yam	desconocido	NO	por definir	
 co_345	Brachiaria Ontology	 https://cropontology.org/ontology/CO_345/Brachiaria	desconocido	NO	por definir	
 co_346	Mungbean Ontology	 https://cropontology.org/ontology/CO_346/Mungbean	desconocido	NO	por definir	
 co_347	Castor Bean Ontology	 http://www.cropontology.org/ontology/CO_347/Castor%20bean	desconocido	NO	por definir	
 co_348	Brassica Ontology	 https://cropontology.org/ontology/CO_348/Brassica	desconocido	NO	por definir	
 co_350	Oat Trait Ontology	 https://cropontology.org/ontology/CO_350/Oat	desconocido	NO	por definir	
 co_356	Vitis Ontology	 https://cropontology.org/ontology/CO_356/Vitis	desconocido	NO	por definir	
 co_357	Woody Plant Ontology	 http://www.cropontology.org/ontology/CO_357/Woody%20Plant%20Ontology	desconocido	NO	por definir	
 co_358	Cotton ontology	 https://cropontology.org/ontology/CO_358/Cotton	desconocido	NO	por definir	
 co_359	Sunflower ontology	 https://cropontology.org/ontology/CO_359/Sunflower	desconocido	NO	por definir	
 co_360	Sugar Kelp Trait Ontology	 http://www.cropontology.org/ontology/CO_360/Sugar%20Kelp%20trait	desconocido	NO	por definir	
 co_365	Fababean ontology	 https://cropontology.org/ontology/CO_365/Fababean	desconocido	NO	por definir	
 co_366	Bambara groundnut ontology	 http://www.cropontology.org/ontology/CO_366/Bambara%20groundnut	desconocido	NO	por definir	
 cob	Core Ontology for Biology and Biomedicine	 https://github.com/OBOFoundry/COB	NO	NO	por definir	
 coconut	COlleCtion of Open Natural ProdUcTs	 https://coconut.naturalproducts.net	desconocido	NO	por definir	
 cog	Clusters of Orthologous Groups of Proteins: Phylogenetic classification of proteins encoded in complete genomes	 https://www.ncbi.nlm.nih.gov/research/cog/	desconocido	NO	por definir	
 cog.category	COG Categories	 https://www.ncbi.nlm.nih.gov/research/cog/	desconocido	NO	por definir	
 cog.pathway	COG Pathways	 https://www.ncbi.nlm.nih.gov/research/cog/pathways	desconocido	NO	por definir	
 cohd	MIMIC III Database	 https://github.com/MIT-LCP/mimic-omop	desconocido	NO	por definir	
 colao	Coleoptera Anatomy Ontology	 https://github.com/insect-morphology/colao	NO	NO	por definir	
 colonatlas	Colorectal Cancer Atlas	 http://www.coloncanceratlas.org	desconocido	NO	por definir	
 combine.specifications	COMBINE specifications	 https://co.mbine.org/standards/	NO	NO	por definir	
 come	The Bioinorganic Motif Database	 https://www.flymine.org/come	desconocido	NO	por definir	
 complexportal	Complex Portal	 https://www.ebi.ac.uk/complexportal	NO	SI	https://www.wikidata.org/wiki/Q47196990	
 comptox	CompTox Chemistry Dashboard	 https://comptox.epa.gov/dashboard	NO	NO	por definir	
 compulyeast	Compulyeast	 http://compluyeast2dpage.dacya.ucm.es/	NO	NO	por definir	
 conoserver	ConoServer	 http://www.conoserver.org/	NO	NO	por definir	
 conso	Curation of Neurodegeneration Supporting Ontology	 https://pharmacome.github.io/conso/	desconocido	NO	por definir	
 coriell	Coriell Cell Repositories	 http://ccr.coriell.org/	NO	NO	por definir	
 corrdb	Animal Trait Correlation Database	 https://www.animalgenome.org	NO	NO	por definir	
 corum	 Comprehensive Resource of Mammalian protein complexes	 https://mips.helmholtz-muenchen.de/genre/proj/corum/	NO	NO	por definir	
 cosmic	Catalogue of Somatic Mutations in Cancer	 http://cancer.sanger.ac.uk/cosmic/	NO	NO	por definir	
 cosmic.cell	COSMIC Cell Lines	 https://cancer.sanger.ac.uk/cell_lines/	desconocido	NO	por definir	
 covid19	SARS-CoV-2	 https://covid19.sfb.uit.no	NO	NO	por definir	
 covoc	CoVoc Coronavirus Vocabulary	 https://github.com/EBISPOT/covoc	desconocido	NO	por definir	
 cp	Cellular Phenotypes	 Part of cell ontology but deprecated, see https://github.com/obophenotype/cell-ontology/issues/572	SI	NO	por definir	
 cpc	Climate Prediction Center	 https://worldwide.espacenet.com/classification	NO	NO	por definir	
 cpga	Cereal Plant Gross Anatomy Ontology	 http://www.gramene.org/plant_ontology/	SI	NO	por definir	
 credit	CASRAI Contributor Roles Taxonomy	 https://casrai.org/credit/	desconocido	NO	por definir	
 crisprdb	CRISPRdb	 http://crispr.i2bc.paris-saclay.fr/	NO	NO	por definir	
 cro	Contributor Role Ontology	 https://github.com/data2health/contributor-role-ontology	NO	NO	por definir	
 cryoem	Cryo Electron Microscopy	 http://scipion.i2pc.es/ontology/cryoem	desconocido	NO	por definir	
 cryptodb	CryptoDB	 https://cryptodb.org/cryptodb/	NO	NO	por definir	
 csa	Catalytic Site Atlas	 https://www.ebi.ac.uk/thornton-srv/databases/CSA/	NO	NO	por definir	
 csd	The Cambridge Structural Database	 https://www.ccdc.cam.ac.uk/	NO	NO	por definir	
