abreviatura	nombre	Esta en wikidata	urlWikidata
chiro	ChEBI Integrated Role Ontology	NO	Por definir 
chmo	Chemical Methods Ontology	NO	Por definir 
cido	Coronavirus Infectious Disease Ontology	NO	Por definir 
cio	Confidence Information Ontology	NO	Por definir 
citexplore	Cerebrotendinous Xanthomatosis Ontology	NO	Por definir 
civic.aid	CIViC Assertion	NO	Por definir 
civic.eid	CIViC Evidence	NO	Por definir 
cl	Cell Ontology	SI	https://www.wikidata.org/wiki/Q55118285 
clao	Collembola Anatomy Ontology	NO	Por definir 
classyfire	ClassyFire	NO	Por definir 
cldb	Cell Line Database	NO	Por definir 
clingene	ClinGen Allele Registry	NO	Por definir 
clinicaltrials	ClinicalTrials.gov	NO	Por definir 
clinvar	ClinVar	SI	https://www.wikidata.org/wiki/Q20023123 
clinvar.record	ClinVar Record	NO	Por definir 
clinvar.submission	ClinVar Submission	NO	Por definir 
clinvar.submitter	ClinVar Submitter	NO	Por definir 
clo	Cell Line Ontology	SI	https://www.wikidata.org/wiki/por definir 
cls	Cell Lines Service	NO	Por definir 
clyh	Clytia hemisphaerica Development and Anatomy Ontology	NO	Por definir 
cmecs	Costal and Marine Ecological Classification Standard	NO	Por definir 
cmf	CranioMaxilloFacial ontology	NO	Por definir 
cmo	Clinical Measurement Ontology	NO	Por definir 
cmpo	Cellular Microscopy Phenotype Ontology	NO	Por definir 
co_320	Rice Ontology	NO	Por definir 
co_321	Wheat Ontology	NO	Por definir 
co_322	Maize Ontology	NO	Por definir 
co_323	Barley Ontology	NO	Por definir 
co_324	Sorghum Ontology	NO	Por definir 
co_325	Banana Ontology	NO	Por definir 
co_326	Coconut ontology	NO	Por definir 
co_327	Pearl Millet Ontology	NO	Por definir 
co_330	Potato Ontology	NO	Por definir 
co_331	Sweet Potato Ontology	NO	Por definir 
co_333	Beet Ontology	NO	Por definir 
co_334	IBP Cassava Trait Ontology	NO	Por definir 
co_335	Common Bean Ontology	NO	Por definir 
co_336	Soybean Ontology	NO	Por definir 
co_337	Groundnut Ontology	NO	Por definir 
co_338	Chickpea Ontology	NO	Por definir 
co_339	Lentil Ontology	NO	Por definir 
co_340	IBP Cowpea Trait Ontology	NO	Por definir 
co_341	Pigeon Pea Ontology	NO	Por definir 
co_343	Yam Ontology	NO	Por definir 
co_345	Brachiaria Ontology	NO	Por definir 
co_346	Mungbean Ontology	NO	Por definir 
co_347	Castor Bean Ontology	NO	Por definir 
co_348	Brassica Ontology	NO	Por definir 
co_350	Oat Trait Ontology	NO	Por definir 
co_356	Vitis Ontology	NO	Por definir 
co_357	Woody Plant Ontology	NO	Por definir 
co_358	Cotton ontology	NO	Por definir 
co_359	Sunflower ontology	NO	Por definir 
co_360	Sugar Kelp Trait Ontology	NO	Por definir 
co_365	Fababean ontology	NO	Por definir 
co_366	Bambara groundnut ontology	NO	Por definir 
cob	Core Ontology for Biology and Biomedicine	NO	Por definir 
coconut	COlleCtion of Open Natural ProdUcTs	NO	Por definir 
cog	Clusters of Orthologous Groups of Proteins: Phylogenetic classification of proteins encoded in complete genomes	NO	Por definir 
cog.category	COG Categories	NO	Por definir 
cog.pathway	COG Pathways	NO	Por definir 
cohd	MIMIC III Database	NO	Por definir 
colao	Coleoptera Anatomy Ontology	NO	Por definir 
colonatlas	Colorectal Cancer Atlas	NO	Por definir 
combine.specifications	COMBINE specifications	NO	Por definir 
come	The Bioinorganic Motif Database	NO	Por definir 
complexportal	Complex Portal	SI	https://www.wikidata.org/wiki/Q47196990 
comptox	CompTox Chemistry Dashboard	NO	Por definir 
compulyeast	Compulyeast	NO	Por definir 
conoserver	ConoServer	NO	Por definir 
conso	Curation of Neurodegeneration Supporting Ontology	NO	Por definir 
coriell	Coriell Cell Repositories	NO	Por definir 
corrdb	Animal Trait Correlation Database	NO	Por definir 
corum	 Comprehensive Resource of Mammalian protein complexes	NO	Por definir 
cosmic	Catalogue of Somatic Mutations in Cancer	NO	Por definir 
cosmic.cell	COSMIC Cell Lines	NO	Por definir 
covid19	SARS-CoV-2	NO	Por definir 
covoc	CoVoc Coronavirus Vocabulary	NO	Por definir 
cp	Cellular Phenotypes	NO	Por definir 
cpc	Climate Prediction Center	NO	Por definir 
cpga	Cereal Plant Gross Anatomy Ontology	NO	Por definir 
credit	CASRAI Contributor Roles Taxonomy	NO	Por definir 
crisprdb	CRISPRdb	NO	Por definir 
cro	Contributor Role Ontology	NO	Por definir 
cryoem	Cryo Electron Microscopy	NO	Por definir 
cryptodb	CryptoDB	NO	Por definir 
csa	Catalytic Site Atlas	NO	Por definir 
csd	The Cambridge Structural Database	NO	Por definir 
csp	Computer Retrieval of Information on Science Projects Thesaurus	NO	Por definir 
cst	Cell Signaling Technology Pathway Database	NO	Por definir 
cst.ab	Cell Signaling Technology Antibody	NO	Por definir 
ctd.chemical	CTD Chemical	NO	Por definir 
ctd.disease	CTD Disease	NO	Por definir 
ctd.gene	CTD Gene	NO	Por definir 
cteno	Ctenophore Ontology	NO	Por definir 
cto	Clinical Trials Ontology	NO	Por definir 
cubedb	Cube db	NO	Por definir 
cvdo	Cardiovascular Disease Ontology	NO	Por definir 
d1id	DataONE	NO	Por definir 
dailymed	DailyMed	NO	Por definir 
dandi	Distributed Archives for Neurophysiology Data Integration	NO	Por definir 
darc	Database of Aligned Ribosomal Complexes	NO	Por definir 
dashr	Database of small human non-coding RNAs	NO	Por definir 
dashr.expression	DASHR expression	NO	Por definir 
datanator.gene	Datanator Gene	NO	Por definir 
datanator.metabolite	Datanator Metabolite	NO	Por definir 
datanator.reaction	Datanator Reaction	NO	Por definir 
datf	Database of Arabidopsis Transcription Factors	NO	Por definir 
dbd	Transcription Factor Database	NO	Por definir 
dbest	Expressed Sequence Tags database	NO	Por definir 
dbg2introns	DBG2 Introns	NO	Por definir 
dbgap	Database of Genotypes and Phenotypes	NO	Por definir 
dbmhc	Database of human Major Histocompatibility Complex	NO	Por definir 
dbprobe	dbProbe	NO	Por definir 
dbsnp	Database of Single Nucleotide Polymorphism	NO	Por definir 
dc	Dublin Core Metadata Element Set	NO	Por definir 
dc_cl	Dendritic cell	NO	Por definir 
dcat	Data Catalog Vocabulary	NO	Por definir 
dcterms	Dublin Core Metadata Initiative (DCMI) Metadata Terms	NO	Por definir 
dctypes	Dublin Core Types	NO	Por definir 
ddanat	Dictyostelium Anatomy Ontology	NO	Por definir 
ddpheno	Dictyostelium Phenotype Ontology	NO	Por definir 
degradome	Degradome Database	NO	Por definir 
depmap	DepMap Cell Lines	NO	Por definir 
depod	The human DEPhOsphorylation Database	NO	Por definir 
dermo	Human Dermatological Disease Ontology	NO	Por definir 
dev.ga4ghdos	Development Data Object Service	NO	Por definir 
dg.4503	BioData Catalyst	NO	Por definir 
dg.4dfc	NCI Data Commons Framework Services	NO	Por definir 
dg.6vts	JCOIN	NO	Por definir 
dg.anv0	Anvil	NO	Por definir 
dg.f82a1a	Kids First	NO	Por definir 
dg5b0d	BloodPAC	NO	Por definir 
dgrc	Drosophila Genomics Resource Center	NO	Por definir 
dicom	Digital Imaging and COmmunications in Medicine	NO	Por definir 
dictybase	dictyBase	NO	Por definir 
dictybase.est	dictyBase Expressed Sequence Tag	NO	Por definir 
dictybase.gene	Dictybase Gene	NO	Por definir 
did	Decentralized Identifier	NO	Por definir 
dideo	The Potential Drug-drug Interaction and Potential Drug-drug Interaction Evidence Ontology	NO	Por definir 
dinto	The Drug-Drug Interactions Ontology	NO	Por definir 
dip	Database of Interacting Proteins	NO	Por definir 
discoverx	DiscoverX cell line products	NO	Por definir 
disdriv	Disease Drivers Ontology	NO	Por definir 
diseaseclass	Disease Class	NO	Por definir 
diseasesdb	Diseases Database	SI	https://www.wikidata.org/wiki/Q213103 
disprot	Database of Protein Disorder	NO	Por definir 
disprot.region	DisProt region	NO	Por definir 
dlxb	Linear double stranded DNA sequences	NO	Por definir 
dlxc	Circular double stranded DNA sequences composed	NO	Por definir 
doi	Digital Object Identifier	NO	Por definir 
doid	Disease Ontology	SI	https://www.wikidata.org/wiki/Q5282129 
dommino	Database of Macromolecular Interactions	NO	Por definir 
door	Database for Prokaryotic Operons	NO	Por definir 
doqcs.model	Database of Quantitative Cellular Signaling: Model	NO	Por definir 
doqcs.pathway	Database of Quantitative Cellular Signaling: Pathway	NO	Por definir 
dpo	Drosophila Phenotype Ontology	NO	Por definir 
dpv	Description of Plant Viruses	NO	Por definir 
dragondb.allele	DragonDB Allele	NO	Por definir 
dragondb.dna	DragonDB DNA	NO	Por definir 
dragondb.locus	DragonDB Locus	NO	Por definir 
dragondb.protein	DragonDB Protein	NO	Por definir 
dron	The Drug Ontology	NO	Por definir 
drsc	Drosophila RNAi Screening Center	NO	Por definir 
drugbank	DrugBank	SI	https://www.wikidata.org/wiki/Q1122544 
drugbank.salt	DrugBank Salts	NO	Por definir 
drugbankv4.target	DrugBank Target v4	NO	Por definir 
drugcentral	DrugCentral	NO	Por definir 
dsmz	Deutsche Sammlung von Mikroorganismen und Zellkulturen	NO	Por definir 
dto	Drug Target Ontology	NO	Por definir 
duo	The Data Use Ontology	NO	Por definir 
eaglei	eagle-i	NO	Por definir 
ebisc	European Bank for induced pluripotent Stem Cells	NO	Por definir 
ecacc	European Collection of Authenticated Cell Culture	NO	Por definir 
ecao	The Echinoderm Anatomy and Development Ontology	NO	Por definir 
eccode	Integrated relational Enzyme database	SI	https://www.wikidata.org/wiki/por definir 
ecg	ElectroCardioGraphy Ontology	NO	Por definir 
echobase	EchoBASE	NO	Por definir 
ecmdb	E. coli Metabolite Database	SI	https://www.wikidata.org/wiki/Q17052437 
eco	Evidence and Conclusion Ontology	NO	Por definir 
ecocore	An ontology of core ecological entities	NO	Por definir 
ecocyc	EcoCyc E. coli Database	NO	Por definir 
ecogene	Escherichia coli strain K12 genome database	NO	Por definir 
ecolexicon	EcoLexicon	NO	Por definir 
ecoliwiki	EcoliWiki:  A Wiki-based community resource for Escherichia coli	NO	Por definir 
ecto	Environmental conditions, treatments and exposures ontology	NO	Por definir 
ecyano.entity	E-cyanobacterium entity	NO	Por definir 
ecyano.experiment	E-cyanobacterium Experimental Data	NO	Por definir 
ecyano.model	E-cyanobacterium model	NO	Por definir 
ecyano.rule	E-cyanobacterium rule	NO	Por definir 
edam	EMBRACE Data and Methods Ontology	NO	Por definir 
edda	EDDA Study Designs Taxonomy	NO	Por definir 
efo	Experimental Factor Ontology	NO	Por definir 
ega.dataset	The European Genome-phenome Archive	NO	Por definir 
ega.study	European Genome-phenome Archive Study	NO	Por definir 
eggnog	Evolutionary Genealogy of Genes: Non-supervised Orthologous Groups	NO	Por definir 
ehda	Human Developmental Anatomy Ontology, timed version	NO	Por definir 
ehdaa	Human Developmental Anatomy Ontology, abstract version 1	NO	Por definir 
ehdaa2	Edinburgh human developmental anatomy abstract version 2	NO	Por definir 
elm	Eukaryotic Linear Motifs	NO	Por definir 
emap	Mouse Gross Anatomy and Development Ontology	NO	Por definir 
emapa	Mouse gross anatomy and development, timed	NO	Por definir 
emdb	Electron Microscopy Data Bank	NO	Por definir 
emolecules	Reaxys eMolecules	NO	Por definir 
empiar	Electron Microscopy Public Image Archive	NO	Por definir 
ena.embl	European Nucleotide Archive	NO	Por definir 
encode	ENCODE Project	NO	Por definir 
enm	eNanoMapper Ontology	NO	Por definir 
ensembl	Ensembl	SI	https://www.wikidata.org/wiki/Q1344256 
ensembl.bacteria	Ensembl Bacteria	NO	Por definir 
ensembl.fungi	Ensembl Fungi	NO	Por definir 
ensembl.metazoa	Ensembl Metazoa	NO	Por definir 
ensembl.plant	Ensembl Plants	NO	Por definir 
ensembl.protist	Ensembl Protists	NO	Por definir 
ensemblglossary	Ensembl Glossary	NO	Por definir 
envipath	enviPath	NO	Por definir 
envo	Environment Ontology	NO	Por definir 
enzo	Enzo Life Sciences	NO	Por definir 
eo	Plant Environment Ontology	NO	Por definir 
eol	Encyclopedia of Life	NO	Por definir 
epcc	European Paediatric Cardiac Codes	NO	Por definir 
epd	The Encyclopedia of Proteome Dynamics	NO	Por definir 
epio	EpilepsyOntology	NO	Por definir 
epo	Early Pregnancy Ontology	NO	Por definir 
epso	Epilepsy and Seizure Ontology	NO	Por definir 
erm	European Registry of Materials	NO	Por definir 
ero	eagle-i Research Resource Ontology	NO	Por definir 
erv	Human Endogenous Retrovirus Database	NO	Por definir 
estdab	European Searchable Tumour Line Database	NO	Por definir 
eu89h	JRC Data Catalogue	NO	Por definir 
euclinicaltrials	EU Clinical Trials	NO	Por definir 
eupath	Eukaryotic Pathogen, Host & Vector Genomics Resource Ontology	NO	Por definir 
eurofir	European Food Information Resource Network	NO	Por definir 
ev	eVOC (Expressed Sequence Annotation for Humans)	NO	Por definir 
evm	eVOC mouse development stage	NO	Por definir 
exac.gene	ExAC Gene	NO	Por definir 
exac.transcript	ExAC Transcript	NO	Por definir 
exac.variant	ExAC Variant	NO	Por definir 
exo	Exposure Ontology	NO	Por definir 
fabio	FaBiO, the FRBR-aligned Bibliographic Ontology	NO	Por definir 
facebase	FaceBase	NO	Por definir 
fairsharing	FAIRsharing	NO	Por definir 
faldo	Feature Annotation Location Description Ontology	NO	Por definir 
fao	Fungal Gross Anatomy Ontology	NO	Por definir 
fbbi	Biological Imaging methods Ontology	NO	Por definir 
fbbt	Drosophila anatomy ontology	NO	Por definir 
fbcv	FlyBase Controlled Vocabulary	NO	Por definir 
fbdv	Drosophila developmental ontology	NO	Por definir 
fbol	Fungal Barcode	NO	Por definir 
fbql	FlyBase Qualifiers	NO	Por definir 
fbrf	FlyBase Reference Report	NO	Por definir 
fbsp	Fly Taxonomy	NO	Por definir 
fbtc	Flybase Cell Line	NO	Por definir 
fcb	the FAIR Cookbook	NO	Por definir 
fcsfree	Fetal Calf Serum-Free Database	NO	Por definir 
fideo	Food Interactions with Drugs Evidence Ontology	NO	Por definir 
fishbase.species	FishBase	SI	https://www.wikidata.org/wiki/Q837101 
fix	Physico-chemical methods and properties	NO	Por definir 
flopo	Flora Phenotype Ontology	NO	Por definir 
flowrepository	FlowRepository	NO	Por definir 
flu	Influenza Ontology	NO	Por definir 
flybase	FlyBase	SI	https://www.wikidata.org/wiki/Q3074571 
flybrain.ndb	FlyBrain Neuron Database	NO	Por definir 
fma	Foundational Model of Anatomy	NO	Por definir 
foaf	Friend of a Friend	NO	Por definir 
fobi	Food-Biomarker Ontology	NO	Por definir 
foodb.compound	FooDB Compound	NO	Por definir 
foodon	FoodOn	NO	Por definir 
fovt	FuTRES Ontology of Vertebrate Traits	NO	Por definir 
fplx	FamPlex	SI	https://www.wikidata.org/wiki/por definir 
fsnp	F-SNP	NO	Por definir 
ftt	Feature Type Thesaurus	NO	Por definir 
funcbase.fly	FuncBase Fly	NO	Por definir 
funcbase.human	FuncBase Human	NO	Por definir 
funcbase.mouse	FuncBase Mouse	NO	Por definir 
funcbase.yeast	FuncBase Yeast	NO	Por definir 
funderregistry	FunderRegistry	NO	Por definir 
fungidb	Fungal and Oomycete genomics resource	NO	Por definir 
fyeco	Fission Yeast Experimental Conditions Ontology	NO	Por definir 
fyler	Fyler	NO	Por definir 
fypo	Fission Yeast Phenotype Ontology	NO	Por definir 
ga4ghdos	Data Object Service	NO	Por definir 
gabi	GABI	NO	Por definir 
galen	GALEN	NO	Por definir 
gard	Genetic and Rare Diseases Information Center	SI	https://www.wikidata.org/wiki/por definir 
gateway	Health Data Research Innovation Gateway	NO	Por definir 
gaz	Gazetteer	SI	https://www.wikidata.org/wiki/por definir 
gbif	Global Biodiversity Information Facility	SI	https://www.wikidata.org/wiki/por definir 
gc	Genetic Code	NO	Por definir 
gcst	GWAS Catalog	NO	Por definir 
gdc	Genomic Data Commons Data Portal	NO	Por definir 
gdsc	Genomics of Drug Sensitivity in Cancer	NO	Por definir 
gecko	Genomics Cohorts Knowledge Ontology	NO	Por definir 
gemet	General Multilingual Environmental Thesaurus	NO	Por definir 
genatlas	GenAtlas	NO	Por definir 
genbank	GenBank	NO	Por definir 
genecards	Human Gene Database	NO	Por definir 
genedb	GeneDB	SI	https://www.wikidata.org/wiki/Q5531047 
genefarm	Structural and functional annotation of Arabidopsis thaliana gene and protein families	NO	Por definir 
genepio	Genomic Epidemiology Ontology	NO	Por definir 
genetree	GeneTree	NO	Por definir 
genewiki	Gene Wiki	NO	Por definir 
geno	Genotype Ontology	NO	Por definir 
genpept	GenPept	NO	Por definir 
genprop	Genome Properties	NO	Por definir 
geo	Geographical Entity Ontology	NO	Por definir 
geogeo	Geographical Entity Ontology	NO	Por definir 
geonames	GeoNames	NO	Por definir 
gexo	Gene Expression Ontology	NO	Por definir 
ghr	Genetics Home Reference	NO	Por definir 
giardiadb	GiardiaDB	NO	Por definir 
github	GitHub	NO	Por definir 
gitlab	GitLab	NO	Por definir 
glida.gpcr	GLIDA GPCR	NO	Por definir 
glida.ligand	GLIDA Ligand	NO	Por definir 
glycoepitope	GlycoEpitope	NO	Por definir 
glycomedb	GlycomeDB	NO	Por definir 
glyconavi	GlycoNAVI	NO	Por definir 
glycopost	GlycoPOST	NO	Por definir 
glygen	GlyGen: Computational and Informatics Resources for Glycoscience	NO	Por definir 
glytoucan	GlyTouCan	NO	Por definir 
gmd	Golm Metabolome Database	NO	Por definir 
gmd.analyte	Golm Metabolome Database Analyte	NO	Por definir 
gmd.gcms	Golm Metabolome Database GC-MS spectra	NO	Por definir 
gmd.profile	Golm Metabolome Database Profile	NO	Por definir 
gmd.ref	Golm Metabolome Database Reference Substance	NO	Por definir 
gmelin	Gmelins Handbuch der anorganischen Chemie	SI	https://www.wikidata.org/wiki/por definir 
gno	Glycan Naming and Subsumption Ontology	NO	Por definir 
gnpis	Genetic and Genomic Information System	NO	Por definir 
go	Gene Ontology	SI	https://www.wikidata.org/wiki/por definir 
go.model	Gene Ontology Causal Assembly Model	NO	Por definir 
